_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs,charging_duration_minutes
5c46721ff9af8b2d64cb23f4,0039,2019-01-05 15:51:36,2019-01-05 17:34:35,2019-01-05 17:34:32,7.808,2_39_139_28_2019-01-05 15:51:36.017459,0002,CA-303,2-39-139-28,America/Los_Angeles,000000675,"[{""WhPerMile"": 313, ""kWhRequested"": 9.39, ""milesRequested"": 30, ""minutesAvailable"": 149, ""modifiedAt"": ""Sat, 05 Jan 2019 15:52:16 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 18:20:36 GMT"", ""userID"": 675}]",102.98333333333333
5c46721ff9af8b2d64cb23f5,0039,2019-01-05 16:00:45,2019-01-05 23:11:16,2019-01-05 23:11:11,5.121,2_39_79_379_2019-01-05 16:00:44.984489,0002,CA-327,2-39-79-379,America/Los_Angeles,000001083,"[{""WhPerMile"": 400, ""kWhRequested"": 8.0, ""milesRequested"": 20, ""minutesAvailable"": 330, ""modifiedAt"": ""Sat, 05 Jan 2019 16:01:47 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 21:30:45 GMT"", ""userID"": 1083}]",430.51666666666665
5c46721ff9af8b2d64cb23f6,0039,2019-01-05 17:26:48,2019-01-05 19:16:48,2019-01-05 18:24:19,0.845,2_39_125_21_2019-01-05 17:26:48.040576,0002,CA-311,2-39-125-21,America/Los_Angeles,,,110.0
5c46721ff9af8b2d64cb23f7,0039,2019-01-05 18:13:42,2019-01-05 20:10:21,2019-01-05 19:52:09,4.504,2_39_91_437_2019-01-05 18:13:42.492305,0002,CA-317,2-39-91-437,America/Los_Angeles,000000743,"[{""WhPerMile"": 400, ""kWhRequested"": 8.0, ""milesRequested"": 20, ""minutesAvailable"": 63, ""modifiedAt"": ""Sat, 05 Jan 2019 18:14:39 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 19:16:42 GMT"", ""userID"": 743}]",116.65
5c46721ff9af8b2d64cb23f8,0039,2019-01-05 18:20:28,2019-01-05 20:12:15,2019-01-05 19:32:17,2.981,2_39_138_29_2019-01-05 18:20:28.266831,0002,CA-304,2-39-138-29,America/Los_Angeles,000000891,"[{""WhPerMile"": 300, ""kWhRequested"": 6.0, ""milesRequested"": 20, ""minutesAvailable"": 219, ""modifiedAt"": ""Sat, 05 Jan 2019 18:20:55 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 21:59:28 GMT"", ""userID"": 891}]",111.78333333333333
5c46721ff9af8b2d64cb23f9,0039,2019-01-05 18:36:04,2019-01-05 19:23:29,2019-01-05 19:23:22,2.308,2_39_131_30_2019-01-05 18:36:03.526833,0002,CA-305,2-39-131-30,America/Los_Angeles,000000365,"[{""WhPerMile"": 333, ""kWhRequested"": 9.99, ""milesRequested"": 30, ""minutesAvailable"": 63, ""modifiedAt"": ""Sat, 05 Jan 2019 18:36:50 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 19:39:04 GMT"", ""userID"": 365}]",47.416666666666664
5c46721ff9af8b2d64cb23fa,0039,2019-01-05 18:54:43,2019-01-05 20:29:33,2019-01-05 20:08:12,5.451,2_39_139_28_2019-01-05 18:54:42.549920,0002,CA-303,2-39-139-28,America/Los_Angeles,000001133,"[{""WhPerMile"": 400, ""kWhRequested"": 40.0, ""milesRequested"": 100, ""minutesAvailable"": 348, ""modifiedAt"": ""Sat, 05 Jan 2019 18:55:09 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sun, 06 Jan 2019 00:42:43 GMT"", ""userID"": 1133}]",94.83333333333333
5c46721ff9af8b2d64cb23fb,0039,2019-01-05 19:25:45,2019-01-05 22:23:11,2019-01-05 22:23:07,9.245,2_39_83_386_2019-01-05 19:25:44.927488,0002,CA-212,2-39-83-386,America/Los_Angeles,000000777,"[{""WhPerMile"": 600, ""kWhRequested"": 24.0, ""milesRequested"": 40, ""minutesAvailable"": 180, ""modifiedAt"": ""Sat, 05 Jan 2019 19:25:45 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 22:25:45 GMT"", ""userID"": 777}]",177.43333333333334
5c46721ff9af8b2d64cb23fc,0039,2019-01-05 19:37:49,2019-01-06 00:20:09,2019-01-06 00:16:44,15.672,2_39_131_30_2019-01-05 19:37:49.307057,0002,CA-305,2-39-131-30,America/Los_Angeles,000000838,"[{""WhPerMile"": 433, ""kWhRequested"": 30.31, ""milesRequested"": 70, ""minutesAvailable"": 277, ""modifiedAt"": ""Sat, 05 Jan 2019 19:38:53 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sun, 06 Jan 2019 00:14:49 GMT"", ""userID"": 838}, {""WhPerMile"": 433, ""kWhRequested"": 30.31, ""milesRequested"": 70, ""minutesAvailable"": 278, ""modifiedAt"": ""Sat, 05 Jan 2019 19:39:08 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sun, 06 Jan 2019 00:15:49 GMT"", ""userID"": 838}]",282.3333333333333
5c46721ff9af8b2d64cb23fd,0039,2019-01-05 20:35:47,2019-01-05 22:14:44,2019-01-05 21:28:17,5.29,2_39_139_28_2019-01-05 20:35:47.242130,0002,CA-303,2-39-139-28,America/Los_Angeles,000000609,"[{""WhPerMile"": 357, ""kWhRequested"": 7.14, ""milesRequested"": 20, ""minutesAvailable"": 122, ""modifiedAt"": ""Sat, 05 Jan 2019 20:37:58 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 22:37:47 GMT"", ""userID"": 609}, {""WhPerMile"": 357, ""kWhRequested"": 7.14, ""milesRequested"": 20, ""minutesAvailable"": 124, ""modifiedAt"": ""Sat, 05 Jan 2019 20:38:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 22:39:47 GMT"", ""userID"": 609}, {""WhPerMile"": 357, ""kWhRequested"": 35.7, ""milesRequested"": 100, ""minutesAvailable"": 125, ""modifiedAt"": ""Sat, 05 Jan 2019 20:39:09 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 22:40:47 GMT"", ""userID"": 609}]",98.95
